Name|Type|eWeaponVar|Purpose|Notes
``active_crosshair_count``|``int``|True|The number of crosshairs to use from the weapon's crosshair list, starting at ``rui_crosshair_index``.|
``activitymodifier``|``string``|True|Used for certain weapon animations.|
``ads_fov_zoomfrac_end``|``float``|True|The fraction at which FoV should finish zooming in when aiming down sights.|
``ads_fov_zoomfrac_start``|``float``|True|The fraction at which FoV should start zooming in when aiming down sights.|
``ads_move_speed_scale``|``float``|True|Scalar on movement speed when aiming down sights. Does not affect acceleration.|
``aimassist_adspull_weaponclass``|``string``|True|Determines the aim assist class for aim assist pull on aiming down sights.|"``none``: No aim assist pull.

``broad``, ``broad_sp``: Moderate aim assist pull.

``precise``, ``precise_sp``: High aim assist pull."
``aimassist_adspull_zoomEnd``|``float``|True|The fraction during aiming down sights at which aim assist pull ends.|
``aimassist_adspull_zoomStart``|``float``|True|The fraction during aiming down sights at which aim assist pull starts.|
``aimassist_disable_ads``|``bool``|True|Disables aim assist while aiming down sights.|
``aimassist_disable_ads_humansonly``|``bool``|True|Disables aim assist on non-heavily armored targets while aiming down sights.|
``aimassist_disable_ads_titansonly``|``bool``|True|Disables aim assist on heavily armored targets while aiming down sights.|
``aimassist_disable_hipfire``|``bool``|True|Disables aim assist while not aiming down sights.|
``aimassist_disable_hipfire_humansonly``|``bool``|True|Disables aim assist on non-heavily armored targets while not aiming down sights.|
``aimassist_disable_hipfire_titansonly``|``bool``|True|Disables aim assist on heavily armored targets while not aiming down sights.|
``allow_empty_fire``|``bool``|True|Allows the weapon to fire with no ammo remaining.|
``allow_headshots``|``bool``|True|Allows the weapon to land headshots on non-heavily armored targets. Does not work on titan weapons.|
``alt_fire_anim_count``|``int``|True|Used to alternate firing animations on weapons with dual launchers (Flight Core, Salvo Core, etc.)|
``alwaysShow``|``bool``|False|Unknown.|
``ammo_clip_random_loss_on_npc_drop``|``float``|True|Random fraction of ammo missing in the clip when dropped by an NPC.|
``ammo_clip_random_loss_on_npc_drop_chunksize``|``int``|True|Ensures that the ammo remaining in the weapon when dropped by an NPC is divisible by this value.|
``ammo_clip_reload_max``|``int``|True|Unknown.|
``ammo_clip_size``|``int``|True|Magazine size.|
``ammo_default_total``|``int``|True|The total amount of ammo a weapon spawns with, including the magazine.|
``ammo_display``|``string``|True|Unknown.|
``ammo_display_as_clips``|``bool``|True|Unknown.|
``ammo_drains_to_empty_on_fire``|``bool``|True|Forces the weapon's clip to drain to empty over ``fire_duration``.|
``ammo_min_to_fire``|``int``|True|The minimum amount of ammo needed to fire the weapon.|
``ammo_min_to_fire_autoreloads``|``bool``|True|Forces a reload when the current ammo is lower than ``ammo_min_to_fire``.|
``ammo_no_remove_from_clip``|``bool``|True|Enables/disables consuming ammo in the magazine on attack.|"If true while ``ammo_no_remove_from_stockpile`` is false, displays only stockpile ammo on HUD. If both are true, displays infinite ammo.

If true and magazine size is greater than 0, ammo is not removed from stockpile."
``ammo_no_remove_from_stockpile``|``bool``|True|Enables/disables consuming ammo in the stockpile when reloading or on weapons with no magazine.|"If false, displays stockpile ammo on HUD."
``ammo_per_shot``|``int``|True|The amount of ammo consumed per shot.|
``ammo_size_segmented_reload``|``int``|True|The amount of ammo reloaded per segment on weapons with segmented reloads.|
``ammo_stockpile_max``|``int``|True|The maximum amount of ammo that the stockpile can hold.|
``ammo_suck_behavior``|``string``|True|Can be ``melee_weapons``, ``offhand_weapons``, or ``primary_weapons``. Use unknown.|
``anim_alt_idleAttack``|``int``|True|Unknown.|
``arc_switch_activator``|``bool``|False|Unknown.|
``attack_button_presses_ads``|``bool``|True|Enables/disables the attack button triggering aim down sights when held.|
``attack_button_presses_melee``|``bool``|True|Enables/disables the attack button triggering melee.|
``battle_chatter_event``|``string``|False|Unknown.|
